Glottocode	Island group
sout2892	NA
west2548	NA
hulu1246	NA
pata1260	NA
east2472	NA
sapa1251	NA
moks1249	NA
latu1237	NA
palu1237	NA
nusa1245	NA
paul1238	NA
nort2864	NA
loun1239	NA
amah1245	NA
nila1244	NA
seru1245	NA
teun1241	NA
sout2895	NA
huau1237	NA
sepa1242	NA
nort2867	NA
yala1266	NA
gebe1237	NA
sale1244	NA
manu1258	NA
imro1237	NA
telu1263	NA
daii1240	NA
tela1241	NA
empl1237	NA
nort2860	NA
sout2883	NA
west2535	NA
cent2072	NA
east2462	NA
lian1255	NA
seri1255	NA
band1353	NA
dawe1237	NA
matb1237	NA
beng1287	NA
hoti1237	NA
bobo1254	NA
biga1238	NA
kawe1240	NA
sala1269	NA
wauy1237	NA
masi1266	NA
bata1295	NA
gese1240	NA
lege1241	NA
bati1253	NA
made1253	NA
maya1282	NA
waig1244	NA
duri1243	NA
sela1259	NA
sege1235	NA
selu1242	NA
yamd1240	NA
ford1242	NA
moii1235	NA
kala1256	NA
watu1247	NA
asss1237	NA
teor1240	NA
mora1239	NA
tehi1237	NA
kurr1245	NA
kond1303	NA
onin1245	NA
onin1237	NA
yaha1248	NA
suab1238	NA
ihaa1241	NA
ihab1241	NA
pura1253	NA
kais1235	NA
abun1252	NA
koko1265	NA
seka1247	NA
kabu1249	NA
argu1237	NA
bedo1237	NA
maib1239	NA
baha1258	NA
karo1303	NA
kara1499	NA
erok1237	NA
urua1244	NA
morb1239	NA
aran1237	NA
kemb1235	NA
keii1239	NA
band1355	NA
mosk1236	NA
mpur1239	NA
tana1288	NA
buru1308	NA
kowi1239	NA
kamb1302	NA
irar1238	NA
meya1236	NA
mani1235	NA
wand1267	NA
mans1260	NA
hata1243	NA
nucl1594	NA
kuri1260	NA
west2538	NA
ujir1237	NA
east2465	NA
mano1275	NA
kare1339	NA
meos1237	NA
dusn1237	NA
lora1237	NA
semi1264	NA
tand1253	NA
roon1237	NA
kola1285	NA
koba1240	NA
dobe1238	NA
yere1243	NA
bara1367	NA
merr1239	NA
komp1237	NA
batu1258	NA
lola1248	NA
yaur1239	NA
mari1430	NA
ires1239	NA
woii1237	NA
tung1293	NA
pomm1237	NA
mara1397	NA
ansu1237	NA
biak1248	NA
kamo1255	NA
papu1251	NA
mung1269	NA
morm1235	NA
ekar1243	NA
busa1254	NA
bura1276	NA
awer1241	NA
auye1238	NA
kehu1238	NA
seru1244	NA
nucl1454	NA
sawe1240	NA
rasa1243	NA
daoo1238	NA
wori1246	NA
amba1265	NA
waro1242	NA
demi1242	NA
wola1243	NA
tefa1238	NA
wabo1240	NA
saur1251	NA
kofe1239	NA
fayu1238	NA
moni1261	NA
taus1252	NA
kuru1305	NA
bara1375	NA
kiri1256	NA
edop1238	NA
dama1272	NA
ware1253	NA
semp1241	NA
nisa1239	NA
bauz1241	NA
demm1245	NA
wano1243	NA
biri1259	NA
iauu1242	NA
pauw1243	NA
bagu1251	NA
obok1239	NA
duvl1242	NA
ndom1245	NA
trim1239	NA
yoke1238	NA
erit1239	NA
kone1241	NA
kwer1264	NA
kauw1242	NA
airo1242	NA
kaiy1239	NA
burm1264	NA
west2594	NA
dout1240	NA
sika1263	NA
mass1263	NA
sama1240	NA
kima1246	NA
nort2917	NA
ndug1245	NA
kwer1263	NA
wari1264	NA
cent2117	NA
rian1263	NA
nucl1595	NA
casu1237	NA
yaos1235	NA
isir1237	NA
papa1269	NA
wark1247	NA
sawi1257	NA
atoh1238	NA
liki1241	NA
sobe1238	NA
mand1443	NA
nucl1452	NA
wala1269	NA
kwes1245	NA
beri1254	NA
abin1243	NA
tama1336	NA
uppe1430	NA
kaya1328	NA
midg1235	NA
lowe1415	NA
sili1249	NA
wakd1237	NA
ngge1241	NA
masi1265	NA
tawo1244	NA
kede1239	NA
yelm1242	NA
dabe1239	NA
asue1235	NA
hupl1238	NA
yamn1237	NA
bone1255	NA
foau1240	NA
tamn1235	NA
yaqa1246	NA
beta1253	NA
momu1241	NA
pass1247	NA
makl1246	NA
ware1254	NA
itik1240	NA
nini1235	NA
diuw1238	NA
pode1237	NA
angg1239	NA
cita1245	NA
sapo1254	NA
anus1237	NA
sout2941	NA
bong1287	NA
bayo1260	NA
saus1247	NA
kosa1249	NA
papu1250	NA
mare1261	NA
koru1245	NA
cent2118	NA
awbo1238	NA
mawe1251	NA
nips1240	NA
kapo1250	NA
kapt1235	NA
momi1242	NA
nalc1240	NA
orya1242	NA
komb1274	NA
eder1237	NA
kopk1238	NA
nucl1622	NA
kwer1265	NA
buru1307	NA
aghu1255	NA
eipo1242	NA
koro1312	NA
nort2918	NA
unaa1239	NA
jair1235	NA
tarp1240	NA
kaur1271	NA
demt1241	NA
nucl1633	NA
tsak1250	NA
wang1299	NA
kosa1251	NA
komy1238	NA
mlap1238	NA
tang1353	NA
gres1240	NA
mekw1241	NA
kemt1242	NA
tabl1243	NA
else1239	NA
kemb1250	NA
kete1254	NA
mand1445	NA
lepk1238	NA
wamb1259	NA
usku1243	NA
naka1265	NA
nucl1632	NA
molo1262	NA
bian1251	NA
tofa1246	NA
ormu1248	NA
awyi1241	NA
ketu1238	NA
mand1444	NA
kayu1243	NA
yetf1238	NA
naml1240	NA
moro1289	NA
toba1266	NA
nafr1241	NA
taik1255	NA
badi1247	NA
dubu1240	NA
seng1285	NA
towe1240	NA
sout2940	NA
ngka1235	NA
iwur1240	NA
nort2916	NA
yeii1239	NA
kimk1238	NA
smar1235	NA
yafi1240	NA
nucl1634	NA
emum1240	NA
murk1238	NA
sowa1245	NA
wari1266	NA
dera1245	NA
sota1242	NA
pyuu1245	NA
mane1266	NA
ngal1298	NA
rema1238	NA
kark1258	NA
wutu1244	NA
ainb1238	NA
umed1238	NA
ning1274	NA
imon1245	NA
aman1265	NA
kilm1241	NA
ango1254	NA
suga1249	NA
yong1280	NA
daon1243	NA
blaf1238	NA
pagi1244	NA
gunt1241	NA
auwe1239	NA
vani1248	NA
naii1241	NA
tifa1245	NA
kris1246	NA
abau1245	NA
odia1239	NA
amto1250	NA
baib1251	NA
kuni1265	NA
siaw1243	NA
kunj1246	NA
aram1253	NA
bopa1235	NA
zima1244	NA
ning1275	NA
nucl1593	NA
wara1294	NA
mian1256	NA
aeky1238	NA
urap1239	NA
yale1246	NA
nimo1247	NA
iter1241	NA
guri1248	NA
nakw1240	NA
rawo1244	NA
fass1245	NA
nama1267	NA
faiw1243	NA
amap1240	NA
pare1271	NA
dree1234	NA
owin1240	NA
nama1266	NA
puar1240	NA
tele1256	NA
seta1245	NA
akkk1240	NA
nami1256	NA
molm1235	NA
iwam1256	NA
namo1246	NA
seti1248	NA
womo1238	NA
seta1246	NA
suki1245	NA
neme1244	NA
sout2932	NA
pouy1238	NA
kabo1248	NA
yiss1240	NA
kwam1254	NA
ineb1235	NA
awtu1239	NA
namb1293	NA
sera1260	NA
yaus1235	NA
suar1238	NA
amal1242	NA
awun1245	NA
nort2907	NA
papi1255	NA
wara1302	NA
kara1495	NA
nenn1238	NA
bimi1240	NA
siss1243	NA
kona1242	NA
elke1240	NA
tuwa1242	NA
lenn1234	NA
auuu1241	NA
yawi1238	NA
sepi1255	NA
oloo1241	NA
oksa1245	NA
yill1241	NA
kubo1242	NA
samo1303	NA
gnau1240	NA
goba1246	NA
kalo1262	NA
nucl1453	NA
laek1243	NA
malo1245	NA
peii1238	NA
diaa1238	NA
ning1273	NA
femb1238	NA
boga1247	NA
pahi1246	NA
idii1243	NA
pasi1259	NA
chen1259	NA
nabi1239	NA
mini1253	NA
beli1258	NA
tuml1238	NA
sina1269	NA
sani1270	NA
agii1245	NA
sili1247	NA
arii1243	NA
yaha1247	NA
woga1249	NA
ayip1235	NA
yapu1240	NA
were1244	NA
niks1238	NA
yang1295	NA
beri1253	NA
waru1267	NA
heyo1240	NA
duna1248	NA
aruo1240	NA
yang1297	NA
odoo1238	NA
brag1240	NA
mehe1243	NA
valm1241	NA
ngal1300	NA
wana1268	NA
beam1240	NA
yang1296	NA
agob1244	NA
amol1235	NA
nigi1241	NA
hewa1241	NA
eiti1240	NA
ambr1239	NA
turu1250	NA
yess1239	NA
soni1260	NA
torr1259	NA
kamu1260	NA
edol1239	NA
urim1252	NA
aime1238	NA
doso1239	NA
kapp1237	NA
kwom1262	NA
mend1268	NA
komb1272	NA
maka1315	NA
bitu1242	NA
kwan1278	NA
arue1240	NA
wagu1234	NA
yamb1254	NA
onob1238	NA
dibi1240	NA
piam1243	NA
kalu1248	NA
urat1244	NA
gizr1240	NA
yelo1243	NA
bahi1254	NA
abom1238	NA
ulau1237	NA
hang1263	NA
bumb1241	NA
mana1298	NA
womp1235	NA
gogo1265	NA
bine1240	NA
abua1245	NA
yera1243	NA
mufi1238	NA
seng1284	NA
huli1244	NA
mari1432	NA
kasu1251	NA
muba1238	NA
bara1378	NA
wata1251	NA
buru1309	NA
nete1240	NA
bisi1244	NA
ambu1247	NA
wipi1242	NA
ipil1240	NA
cham1313	NA
buki1249	NA
kara1497	NA
gaik1242	NA
keak1239	NA
kani1285	NA
biso1243	NA
suma1269	NA
kapr1245	NA
sout2949	NA
fasu1242	NA
tabo1241	NA
alam1246	NA
iatm1242	NA
tape1242	NA
sosk1235	NA
boik1241	NA
anga1292	NA
foii1241	NA
wabo1241	NA
bamu1257	NA
yima1243	NA
anga1294	NA
anga1293	NA
tabr1243	NA
ikob1240	NA
koiw1243	NA
anda1283	NA
fiwa1240	NA
juwa1238	NA
enga1252	NA
chan1319	NA
urim1251	NA
west2599	NA
mekm1240	NA
wiar1238	NA
meri1244	NA
bung1270	NA
tere1276	NA
kama1367	NA
kyen1243	NA
biwa1243	NA
mori1271	NA
kaie1237	NA
lemb1266	NA
bunn1240	NA
erav1244	NA
lang1328	NA
elep1240	NA
east2516	NA
nanu1240	NA
samb1321	NA
kiss1246	NA
mong1344	NA
umbu1258	NA
bari1298	NA
yaul1241	NA
mina1274	NA
imbo1238	NA
ango1255	NA
apma1241	NA
boun1245	NA
woge1237	NA
buna1277	NA
kyak1244	NA
pina1252	NA
muri1260	NA
rumu1243	NA
wiru1244	NA
amba1269	NA
kibi1239	NA
kere1286	NA
bana1292	NA
haru1245	NA
melp1238	NA
folo1238	NA
kobo1249	NA
kopa1248	NA
abuu1241	NA
taia1239	NA
dadi1250	NA
raoo1244	NA
niii1240	NA
wata1253	NA
kala1397	NA
goro1261	NA
mari1435	NA
bosn1248	NA
taii1241	NA
nucl1620	NA
nort2930	NA
romk1240	NA
brer1240	NA
kire1240	NA
bore1247	NA
nara1264	NA
kaia1245	NA
aiom1240	NA
anda1284	NA
gant1244	NA
komi1271	NA
anor1241	NA
nort2921	NA
atem1241	NA
sepe1240	NA
biem1237	NA
kang1291	NA
akru1241	NA
awar1249	NA
igan1243	NA
arua1260	NA
goli1247	NA
ipik1244	NA
payn1244	NA
nend1239	NA
domm1246	NA
inap1241	NA
tang1355	NA
utar1238	NA
tang1356	NA
nucl1458	NA
sepa1241	NA
kand1303	NA
wada1263	NA
kuma1280	NA
more1258	NA
lila1246	NA
anam1248	NA
salt1242	NA
apal1256	NA
sina1271	NA
pura1257	NA
mala1494	NA
anam1247	NA
mumm1238	NA
seim1238	NA
herm1237	NA
pawa1255	NA
kani1282	NA
maia1254	NA
noma1262	NA
chua1250	NA
gend1249	NA
musa1266	NA
gimi1243	NA
sile1255	NA
maia1253	NA
pall1244	NA
sian1257	NA
dano1240	NA
mian1254	NA
mawa1266	NA
kobo1248	NA
pamo1253	NA
fait1240	NA
toka1244	NA
huaa1250	NA
orok1267	NA
biyo1244	NA
yawe1241	NA
sopp1247	NA
yabe1255	NA
usan1239	NA
tauy1241	NA
amai1246	NA
alek1238	NA
yaga1260	NA
mauw1238	NA
kowa1245	NA
musa1265	NA
keor1235	NA
para1307	NA
wana1269	NA
move1241	NA
gira1247	NA
mede1237	NA
bepo1240	NA
yara1250	NA
dana1254	NA
moer1240	NA
isab1240	NA
keya1238	NA
uyaa1238	NA
suma1270	NA
kein1239	NA
saus1246	NA
kare1341	NA
fore1270	NA
urig1240	NA
kora1296	NA
ukur1240	NA
bena1264	NA
samo1306	NA
inok1238	NA
wama1247	NA
kani1283	NA
utuu1240	NA
muni1257	NA
asas1240	NA
kani1286	NA
bila1257	NA
brem1238	NA
siha1245	NA
saru1243	NA
kesa1244	NA
silo1240	NA
mawa1267	NA
mari1428	NA
sins1241	NA
simb1255	NA
mosi1248	NA
baim1245	NA
muru1273	NA
bauu1244	NA
mate1260	NA
guma1255	NA
mala1495	NA
gall1278	NA
kwat1244	NA
bagu1252	NA
usar1243	NA
dudu1240	NA
dump1243	NA
nake1240	NA
abag1245	NA
akoy1238	NA
rapt1240	NA
dimi1244	NA
tain1253	NA
garu1246	NA
amel1241	NA
iseb1246	NA
jili1241	NA
ogea1238	NA
nobo1238	NA
awap1236	NA
rera1240	NA
anja1238	NA
wagi1249	NA
kama1370	NA
tair1256	NA
pula1267	NA
opao1240	NA
pani1258	NA
anka1246	NA
barg1252	NA
male1291	NA
yoid1240	NA
awiy1238	NA
bilb1241	NA
matu1261	NA
remp1241	NA
bong1291	NA
samm1244	NA
kaki1249	NA
owen1244	NA
baru1267	NA
mari1429	NA
yagw1240	NA
yang1298	NA
kena1250	NA
sout2943	NA
araw1272	NA
agar1252	NA
rawa1267	NA
nort2920	NA
wase1252	NA
wask1241	NA
siro1249	NA
gads1258	NA
meny1245	NA
saep1240	NA
dumu1246	NA
kamb1303	NA
safe1240	NA
waff1241	NA
iyoo1238	NA
binu1245	NA
wamp1248	NA
gang1270	NA
mind1255	NA
toar1246	NA
yabo1240	NA
kama1360	NA
kawa1276	NA
kolo1267	NA
nort2857	NA
hamt1247	NA
ufim1240	NA
nekg1240	NA
neko1240	NA
suku1264	NA
ngai1241	NA
anga1290	NA
awad1244	NA
mapa1244	NA
awar1248	NA
bipi1237	NA
sara1323	NA
bulg1265	NA
madi1261	NA
sout2877	NA
lemi1243	NA
guya1251	NA
gwah1244	NA
piuu1237	NA
wabb1237	NA
nank1250	NA
damb1246	NA
asar1240	NA
want1252	NA
kapi1250	NA
mura1271	NA
fora1245	NA
waim1251	NA
zena1237	NA
susu1251	NA
kuma1278	NA
dege1247	NA
mama1277	NA
gora1262	NA
meke1243	NA
yago1240	NA
urii1240	NA
tuma1250	NA
nyin1250	NA
fino1238	NA
pate1247	NA
mala1489	NA
sori1242	NA
somm1240	NA
yopn1238	NA
wamp1247	NA
gusa1246	NA
nimi1240	NA
domu1246	NA
mang1404	NA
liku1243	NA
saka1292	NA
numa1254	NA
ronj1237	NA
bonk1244	NA
kheh1237	NA
mung1272	NA
lala1268	NA
sauk1252	NA
bian1252	NA
mapo1242	NA
naka1264	NA
nafi1237	NA
yama1260	NA
duwe1237	NA
nekk1240	NA
yaum1237	NA
hote1245	NA
kuni1263	NA
nukk1240	NA
pona1250	NA
vehe1237	NA
labu1248	NA
kuni1267	NA
weri1253	NA
arib1240	NA
muso1238	NA
mond1265	NA
tulu1259	NA
amam1246	NA
naba1256	NA
nukn1238	NA
iwal1237	NA
tour1243	NA
abad1241	NA
kurt1250	NA
timb1251	NA
mala1487	NA
koit1244	NA
eree1241	NA
hiri1237	NA
andr1248	NA
taua1242	NA
eluu1241	NA
mese1244	NA
weli1239	NA
koro1309	NA
kela1255	NA
nali1245	NA
leip1237	NA
guhu1244	NA
sele1250	NA
komb1273	NA
numb1247	NA
tokp1240	NA
fuyu1242	NA
buga1250	NA
buru1306	NA
tobo1251	NA
moun1252	NA
kumu1247	NA
moke1240	NA
motu1246	NA
gras1249	NA
kina1251	NA
mula1254	NA
yeko1240	NA
gitu1237	NA
nomu1240	NA
boro1279	NA
suen1241	NA
kube1244	NA
hume1246	NA
sial1240	NA
onoo1246	NA
ziaa1250	NA
dedu1240	NA
mape1249	NA
uare1241	NA
hula1239	NA
miga1241	NA
tami1290	NA
lenk1247	NA
kate1253	NA
pakt1239	NA
moma1243	NA
sene1263	NA
penc1239	NA
sina1266	NA
kova1243	NA
bina1277	NA
nucl1630	NA
hunj1241	NA
keap1239	NA
doro1266	NA
mutu1242	NA
aeka1244	NA
orok1269	NA
omie1241	NA
nami1258	NA
naun1237	NA
nawa1258	NA
mari1438	NA
moik1239	NA
esee1247	NA
ewag1241	NA
domu1245	NA
bari1290	NA
anem1248	NA
gain1243	NA
yare1248	NA
mora1273	NA
baru1269	NA
dogh1241	NA
bauw1240	NA
solo1258	NA
bina1275	NA
anem1249	NA
ouma1237	NA
onjo1240	NA
arif1239	NA
laua1245	NA
mago1248	NA
daga1275	NA
kora1294	NA
maiw1251	NA
yoba1237	NA
ubir1237	NA
gimi1242	NA
mape1250	NA
mail1248	NA
miuu1237	NA
tura1265	NA
aikl1237	NA
dima1252	NA
uman1240	NA
bina1271	NA
ginu1240	NA
kana1288	NA
seng1281	NA
anuk1239	NA
ghay1237	NA
doga1238	NA
karo1298	NA
apal1255	NA
yaka1275	NA
aree1239	NA
dawa1242	NA
kaka1267	NA
bola1250	NA
bulu1253	NA
diod1237	NA
weda1241	NA
buhu1237	NA
akol1237	NA
suau1242	NA
idun1242	NA
kani1281	NA
haig1237	NA
aigh1235	NA
bwai1242	NA
bebe1252	NA
maiw1249	NA
taup1242	NA
waga1268	NA
waem1237	NA
gwed1239	NA
avau1237	NA
kolu1245	NA
mina1269	NA
lesi1239	NA
iama1237	NA
moli1248	NA
oyao1237	NA
bose1237	NA
sali1295	NA
maia1251	NA
guma1254	NA
dobu1241	NA
gale1257	NA
teni1244	NA
tian1237	NA
sewa1251	NA
auhe1237	NA
mamu1254	NA
bwan1241	NA
pele1245	NA
buna1276	NA
mwat1237	NA
kara1486	NA
duau1237	NA
laku1238	NA
kuot1243	NA
kolp1236	NA
qaqe1238	NA
mako1250	NA
lava1239	NA
tomo1244	NA
sulk1246	NA
urap1240	NA
mand1440	NA
simb1259	NA
kair1267	NA
taul1251	NA
unse1236	NA
mali1284	NA
buta1242	NA
bilu1244	NA
misi1243	NA
muyu1244	NA
kono1269	NA
gura1254	NA
nimo1246	NA
niwe1234	NA
budi1249	NA
yele1255	NA
neha1247	NA
peta1245	NA
hako1237	NA
solo1257	NA
haho1237	NA
rapo1238	NA
ramo1245	NA
tinp1237	NA
lawu1237	NA
roto1249	NA
asko1238	NA
sibe1248	NA
sime1242	NA
siwa1245	NA
naas1242	NA
uisa1238	NA
oung1239	NA
koro1313	NA
tere1278	NA
daan1235	NA
vagh1249	NA
lung1249	NA
vari1239	NA
bilu1245	NA
riri1237	NA
duke1237	NA
ngat1248	NA
touo1238	NA
kazu1245	NA
maro1244	NA
vang1243	NA
lagh1246	NA
lavu1241	NA
zaza1245	NA
blab1237	NA
chek1238	NA
gaoo1237	NA
savo1255	NA
mala1484	NA
piji1239	NA
renn1236	NA
bira1254	NA
bael1237	NA
baeg1237	NA
fata1245	NA
dori1246	NA
gula1270	NA
faga1239	NA
baur1252	NA
kahu1241	NA
meaa1237	New Caledonia
newc1244	New Caledonia
Ngaapuhi	Central Pacific
Ngaati Kohungunu	Central Pacific
Ngaati Porou	Central Pacific
sout2867	Central Pacific
tara1315	Central Pacific
Te Ao Puri	Central Pacific
Tuuhoe	Central Pacific
Tuuwharetoa	Central Pacific
Waikato	Central Pacific
newc1245	New Caledonia
tiri1261	New Caledonia
agta1234	NA
araf1245	NA
baim1246	NA
bant1293	NA
bayb1234	NA
biag1234	NA
bina1274	NA
duvl1238	NA
east2694	NA
haun1238	NA
hiri1235	NA
hiri1236	NA
hoia1235	NA
hoya1235	NA
imun1234	NA
ioit1234	NA
jofo1235	NA
kaer1234	NA
kina1252	NA
koke1241	NA
kora1298	NA
kwin1242	NA
kwom1264	NA
magi1243	NA
mahi1249	NA
mala1534	NA
mole1239	NA
mouw1234	NA
murp1234	NA
nasa1239	NA
nori1242	NA
nort3262	NA
oldm1243	NA
ooku1235	NA
papu1254	NA
pidg1237	NA
pidg1251	NA
pidg1257	NA
tand1258	NA
taut1234	NA
tola1236	NA
unub1234	NA
vito1235	NA
yima1235	NA
yima1244	NA
yima1245	NA
yima1246	NA
yout1234	NA
vovo1238	Central Vanuatu
wala1268	Central Vanuatu
ocea1241	Proto-Oceanic
kara1486	Bismarck
mari1428	New Guinea mainland / Louisiade archipelago
maro1244	Solomons and Bougainville
matu1261	New Guinea mainland / Louisiade archipelago
misi1243	New Guinea mainland / Louisiade archipelago
muyu1244	New Guinea mainland / Louisiade archipelago
neha1247	Solomons and Bougainville
seim1238	Bismarck
seng1281	Bismarck
abad1241	New Guinea mainland / Louisiade archipelago
aree1239	New Guinea mainland / Louisiade archipelago
awad1244	New Guinea mainland / Louisiade archipelago
blab1237	Solomons and Bougainville
bola1250	Bismarck
buga1250	New Guinea mainland / Louisiade archipelago
buhu1237	New Guinea mainland / Louisiade archipelago
buna1276	New Guinea mainland / Louisiade archipelago
bwai1242	New Guinea mainland / Louisiade archipelago
chek1238	Solomons and Bougainville
dobu1241	New Guinea mainland / Louisiade archipelago
guma1254	New Guinea mainland / Louisiade archipelago
hote1245	New Guinea mainland / Louisiade archipelago
hula1239	New Guinea mainland / Louisiade archipelago
iama1237	New Guinea mainland / Louisiade archipelago
idun1242	New Guinea mainland / Louisiade archipelago
iwal1237	New Guinea mainland / Louisiade archipelago
keap1239	New Guinea mainland / Louisiade archipelago
labu1248	New Guinea mainland / Louisiade archipelago
lala1268	New Guinea mainland / Louisiade archipelago
mapo1242	New Guinea mainland / Louisiade archipelago
muso1238	New Guinea mainland / Louisiade archipelago
pate1247	New Guinea mainland / Louisiade archipelago
sobe1238	New Guinea mainland / Louisiade archipelago
tami1290	New Guinea mainland / Louisiade archipelago
ubir1237	New Guinea mainland / Louisiade archipelago
waim1251	New Guinea mainland / Louisiade archipelago
