Feature_ID	Proto-language	parsimony_glottolog	parsimony_gray_mcct	parsimony_gray_posteriors	ML_glottolog	ML_gray_mcct	ML_gray_posteriors	most_common_most_common	HL_HL
GB250	Proto-Oceanic	Absent	Half	Half	Absent	Absent	Absent	Absent	
GB250	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB250	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB250	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB254	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB254	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB257	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB260	Proto-Oceanic	Absent	Absent	Absent	Absent			Absent	Absent
GB260	Proto-Central Pacific	Absent	Absent	Absent	Absent			Absent	
GB260	Proto-Polynesian	Absent	Absent	Absent	Absent			Absent	
GB260	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent			Absent	
GB262	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB262	Proto-Central Pacific	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB262	Proto-Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB262	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Present	Absent	Absent	
GB263	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB263	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB263	Proto-Polynesian	Absent	Absent	Absent	Half	Absent	Absent	Absent	
GB263	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB264	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB264	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB265	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Polynesian	Absent	Half	Absent	Absent	Absent	Absent	Absent	
GB265	Proto-Eastern Polynesian	Absent	Present	Absent	Absent	Absent	Absent	Absent	
GB266	Proto-Oceanic	Present	Half	Present	Present	Half	Half	Half	
GB266	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Present	
GB266	Proto-Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB266	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB275	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB275	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB276	Proto-Oceanic	Half	Half	Half	Half	Half	Half	Absent	
GB276	Proto-Central Pacific	Present	Present	Present	Present	Half	Present	Present	
GB276	Proto-Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB276	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	
GB285	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB285	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB285	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB285	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB286	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB286	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB291	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB291	Proto-Eastern Polynesian	Absent	Half	Absent	Absent	Absent	Half	Absent	
GB297	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB297	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB297	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB297	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB298	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB299	Proto-Oceanic	Present	Present	Present	Half	Present	Present	Present	Present
GB299	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB299	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB299	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB300	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB300	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB301	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB301	Proto-Central Pacific	Present	Half	Absent	Present	Present	Present	Present	
GB301	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB301	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB302	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB302	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB303	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB304	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB304	Proto-Central Pacific	Absent	Half	Absent	Absent	Absent	Absent	Half	
GB304	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB304	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB305	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Half	Absent	
GB305	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB305	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB305	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB306	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB309	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Oceanic	Absent	Present	Present	Absent	Absent	Half	Absent	Present
GB312	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB312	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB313	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Central Pacific	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Polynesian	Absent	Absent	Absent	Absent	Half	Half	Half	
GB313	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Half	Half	Absent	
GB314	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB314	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB315	Proto-Oceanic	Absent	Absent	Absent				Absent	
GB315	Proto-Central Pacific	Absent	Absent	Absent				Absent	
GB315	Proto-Polynesian	Absent	Absent	Absent				Absent	
GB315	Proto-Eastern Polynesian	Absent	Absent	Absent				Absent	
GB316	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB316	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB316	Proto-Polynesian	Absent	Half	Half	Absent	Absent	Present	Half	
GB316	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Present	Absent	
GB317	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Absent	Absent	
GB317	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB317	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB317	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB318	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB318	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Absent	Half	
GB318	Proto-Central Pacific	Absent	Absent	Absent	Absent	Half	Absent	Present	
GB318	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB319	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB319	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB320	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB321	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB321	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB321	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB321	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB324	Proto-Oceanic	Absent	Absent	Absent	Present	Absent	Absent	Absent	
GB324	Proto-Central Pacific	Absent	Absent	Absent	Present	Absent	Absent	Half	
GB324	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB324	Proto-Eastern Polynesian	Present	Absent	Absent	Present	Absent	Absent	Half	
GB325	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB325	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB325	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB325	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB326	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB326	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB326	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB326	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB327	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB327	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	
GB327	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB327	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB328	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB328	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB328	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB328	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB329	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB329	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB329	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB329	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB330	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB330	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB330	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB330	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB331	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB331	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB331	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB331	Proto-Eastern Polynesian	Absent	Present	Half	Absent	Absent	Absent	Absent	
GB333	Proto-Oceanic	Present	Present	Present	Present	Absent	Present	Present	Present
GB333	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB333	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB333	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB334	Proto-Oceanic	Absent	Half	Half	Absent	Present	Absent	Half	
GB334	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB334	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB334	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB335	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB335	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB335	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB335	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB336	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB336	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB336	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB336	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB400	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB400	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB400	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB400	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB402	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB402	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB402	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB402	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB403	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB403	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Half	
GB403	Proto-Polynesian	Present	Half	Half	Present	Present	Present	Half	
GB403	Proto-Eastern Polynesian	Absent	Half	Absent	Absent	Present	Present	Absent	
GB408	Proto-Eastern Polynesian	Present	Present	Present	Present	Half	Present	Present	Present
GB408	Proto-Oceanic	Absent	Absent	Absent	Absent	Half	Absent	Absent	Present
GB408	Proto-Central Pacific	Absent	Half	Half	Absent	Half	Half	Half	
GB409	Proto-Eastern Polynesian	Absent	Present	Present	Present	Present	Present	Half	Absent
GB409	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB410	Proto-Central Pacific	Half	Present	Present	Absent	Present	Present	Half	Present
GB410	Proto-Oceanic	Present	Present	Present	Half	Present	Present	Present	
GB410	Proto-Polynesian	Absent	Present	Present	Absent	Present	Present	Half	
GB410	Proto-Eastern Polynesian	Absent	Half	Present	Absent	Present	Present	Absent	
GB415	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB415	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB415	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB415	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB421	Proto-Oceanic	Present	Half	Present	Present	Present	Present	Present	
GB421	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Half	
GB421	Proto-Polynesian	Half	Half	Present	Half	Half	Absent	Half	
GB421	Proto-Eastern Polynesian	Present	Present	Present	Half	Half	Half	Half	
GB422	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB422	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB422	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB422	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB430	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB430	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB430	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB430	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB431	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB431	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB431	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB431	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB432	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent
GB432	Proto-Central Pacific	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB432	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB432	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB433	Proto-Oceanic	Present	Present	Present	Present	Present	Present	Present	Present
GB433	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Absent	
GB433	Proto-Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB433	Proto-Eastern Polynesian	Absent	Absent	Absent	Absent	Absent	Absent	Absent	
GB519	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB519	Proto-Oceanic	Present	Half	Present	Absent	Present	Half	Present	
GB519	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	
GB519	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB520	Proto-Central Pacific	Present	Present	Present	Present	Present	Present	Present	Present
GB520	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB520	Proto-Oceanic	Present	Present	Present	Absent	Present	Absent	Present	
GB520	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB521	Proto-Central Pacific	Present	Present	Present	Present	Present	Half	Present	Present
GB521	Proto-Oceanic	Absent	Absent	Absent	Absent	Absent	Absent	Half	Absent
GB521	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB521	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB522	Proto-Oceanic	Present	Present	Present	Absent	Present	Present	Present	Present
GB522	Proto-Polynesian	Present	Present	Present	Present	Present	Present	Present	Present
GB522	Proto-Central Pacific	Absent	Absent	Absent	Absent	Present	Present	Present	
GB522	Proto-Eastern Polynesian	Present	Present	Present	Present	Present	Present	Present	
GB046	Proto-Oceanic		Absent	Absent		Absent	Absent		
GB046	Proto-Central Pacific		Half	Half		Absent	Absent		
GB046	Proto-Polynesian		Absent	Absent		Absent	Absent		
GB046	Proto-Eastern Polynesian		Absent	Absent		Absent	Absent		
