Feature_ID	0	1	Proto-language	most_common_prediction	Prediction	result_most_common	min	ntip	min_percent_most_common
GB020	0.4627450980392157	0.5372549019607843	Proto-Oceanic	Half	NA	NA	118	255	0.4627450980392157
GB021	0.6680672268907563	0.3319327731092437	Proto-Oceanic	Absent	NA	NA	79	238	0.3319327731092437
GB022	0.47104247104247104	0.528957528957529	Proto-Oceanic	Half	1	Half	122	259	0.47104247104247104
GB023	0.7760617760617761	0.22393822393822393	Proto-Oceanic	Absent	0	True Negative	58	259	0.22393822393822393
GB026	0.9914529914529915	0.008547008547008548	Proto-Oceanic	Absent	NA	NA	2	234	0.008547008547008548
GB027	0.29577464788732394	0.704225352112676	Proto-Oceanic	Present	NA	NA	63	213	0.29577464788732394
GB028	0.025735294117647058	0.9742647058823529	Proto-Oceanic	Present	1	True Positive	7	272	0.025735294117647058
GB030	0.9736842105263158	0.02631578947368421	Proto-Oceanic	Absent	0	True Negative	7	266	0.02631578947368421
GB031	0.3435114503816794	0.6564885496183206	Proto-Oceanic	Present	1	True Positive	90	262	0.3435114503816794
GB035	0.3403361344537815	0.6596638655462185	Proto-Oceanic	Present	1	True Positive	81	238	0.3403361344537815
GB036	0.9282700421940928	0.07172995780590717	Proto-Oceanic	Absent	NA	NA	17	237	0.07172995780590717
GB037	0.902127659574468	0.09787234042553192	Proto-Oceanic	Absent	NA	NA	23	235	0.09787234042553192
GB038	0.9759036144578314	0.024096385542168676	Proto-Oceanic	Absent	NA	NA	6	249	0.024096385542168676
GB039	0.921161825726141	0.07883817427385892	Proto-Oceanic	Absent	NA	NA	19	241	0.07883817427385892
GB041	0.9743589743589743	0.02564102564102564	Proto-Oceanic	Absent	NA	NA	5	195	0.02564102564102564
GB042	0.9695817490494296	0.030418250950570342	Proto-Oceanic	Absent	NA	NA	8	263	0.030418250950570342
GB043	0.9693486590038314	0.03065134099616858	Proto-Oceanic	Absent	NA	NA	8	261	0.03065134099616858
GB044	0.8587786259541985	0.14122137404580154	Proto-Oceanic	Absent	NA	NA	37	262	0.14122137404580154
GB046	0.6940298507462687	0.30597014925373134	Proto-Oceanic	Not enough languages	NA	Not enough languages	41	134	0.30597014925373134
GB047	0.2914572864321608	0.7085427135678392	Proto-Oceanic	Present	1	True Positive	58	199	0.2914572864321608
GB048	0.6290322580645161	0.3709677419354839	Proto-Oceanic	Absent	NA	NA	69	186	0.3709677419354839
GB049	0.4052631578947368	0.5947368421052631	Proto-Oceanic	Half	1	Half	77	190	0.4052631578947368
GB051	0.9840637450199203	0.01593625498007968	Proto-Oceanic	Absent	0	True Negative	4	251	0.01593625498007968
GB052	0.98	0.02	Proto-Oceanic	Absent	0	True Negative	5	250	0.02
GB053	0.9346938775510204	0.0653061224489796	Proto-Oceanic	Absent	0	True Negative	16	245	0.0653061224489796
GB054	0.9795918367346939	0.02040816326530612	Proto-Oceanic	Absent	0	True Negative	5	245	0.02040816326530612
GB057	0.7418032786885246	0.2581967213114754	Proto-Oceanic	Absent	NA	NA	63	244	0.2581967213114754
GB058	0.44621513944223107	0.5537848605577689	Proto-Oceanic	Half	1	Half	112	251	0.44621513944223107
GB059	0.038314176245210725	0.9616858237547893	Proto-Oceanic	Present	1	True Positive	10	261	0.038314176245210725
GB068	0.29596412556053814	0.7040358744394619	Proto-Oceanic	Present	1	True Positive	66	223	0.29596412556053814
GB069	0.6553398058252428	0.3446601941747573	Proto-Oceanic	Absent	NA	NA	71	206	0.3446601941747573
GB070	0.9343629343629344	0.06563706563706563	Proto-Oceanic	Absent	NA	NA	17	259	0.06563706563706563
GB071	0.75	0.25	Proto-Oceanic	Absent	NA	NA	64	256	0.25
GB072	0.83203125	0.16796875	Proto-Oceanic	Absent	NA	NA	43	256	0.16796875
GB073	0.7550200803212851	0.24497991967871485	Proto-Oceanic	Absent	NA	NA	61	249	0.24497991967871485
GB074	0.09363295880149813	0.9063670411985019	Proto-Oceanic	Present	1	True Positive	25	267	0.09363295880149813
GB075	0.8125	0.1875	Proto-Oceanic	Absent	0	True Negative	48	256	0.1875
GB079	0.08745247148288973	0.9125475285171103	Proto-Oceanic	Present	1	True Positive	23	263	0.08745247148288973
GB080	0.21455938697318008	0.7854406130268199	Proto-Oceanic	Present	NA	NA	56	261	0.21455938697318008
GB081	0.9061224489795918	0.09387755102040816	Proto-Oceanic	Absent	NA	NA	23	245	0.09387755102040816
GB082	0.888030888030888	0.11196911196911197	Proto-Oceanic	Absent	0	True Negative	29	259	0.11196911196911197
GB083	0.842911877394636	0.15708812260536398	Proto-Oceanic	Absent	0	True Negative	41	261	0.15708812260536398
GB084	0.8199233716475096	0.18007662835249041	Proto-Oceanic	Absent	0	True Negative	47	261	0.18007662835249041
GB086	0.6065573770491803	0.39344262295081966	Proto-Oceanic	Absent	1	False Negative	96	244	0.39344262295081966
GB089	0.898876404494382	0.10112359550561797	Proto-Oceanic	Absent	0	True Negative	27	267	0.10112359550561797
GB090	0.49063670411985016	0.5093632958801498	Proto-Oceanic	Half	1	Half	131	267	0.49063670411985016
GB091	0.9391634980988594	0.060836501901140684	Proto-Oceanic	Absent	0	True Negative	16	263	0.060836501901140684
GB092	0.5133079847908745	0.4866920152091255	Proto-Oceanic	Half	1	Half	128	263	0.4866920152091255
GB093	0.4075471698113208	0.5924528301886792	Proto-Oceanic	Half	1	Half	108	265	0.4075471698113208
GB094	0.9811320754716981	0.018867924528301886	Proto-Oceanic	Absent	0	True Negative	5	265	0.018867924528301886
GB095	0.9264069264069265	0.0735930735930736	Proto-Oceanic	Absent	NA	NA	17	231	0.0735930735930736
GB096	0.8823529411764706	0.11764705882352941	Proto-Oceanic	Absent	NA	NA	28	238	0.11764705882352941
GB098	0.7941176470588235	0.20588235294117646	Proto-Oceanic	Absent	NA	NA	49	238	0.20588235294117646
GB099	0.9752475247524752	0.024752475247524754	Proto-Oceanic	Absent	NA	NA	5	202	0.024752475247524754
GB103	0.8755760368663594	0.12442396313364056	Proto-Oceanic	Absent	NA	NA	27	217	0.12442396313364056
GB104	0.8721461187214612	0.1278538812785388	Proto-Oceanic	Absent	NA	NA	28	219	0.1278538812785388
GB105	0.5392156862745098	0.46078431372549017	Proto-Oceanic	Half	0	Half	94	204	0.46078431372549017
GB107	0.7509578544061303	0.24904214559386972	Proto-Oceanic	Absent	NA	NA	65	261	0.24904214559386972
GB108	0.6721311475409836	0.32786885245901637	Proto-Oceanic	Absent	NA	NA	80	244	0.32786885245901637
GB109	0.915	0.085	Proto-Oceanic	Absent	NA	NA	17	200	0.085
GB110	1	0	Proto-Oceanic	Absent	NA	NA	202	202	1
GB111	0.9024390243902439	0.0975609756097561	Proto-Oceanic	Absent	NA	NA	24	246	0.0975609756097561
GB113	0.20081967213114754	0.7991803278688525	Proto-Oceanic	Present	1	True Positive	49	244	0.20081967213114754
GB114	0.8644859813084113	0.13551401869158877	Proto-Oceanic	Absent	NA	NA	29	214	0.13551401869158877
GB115	0.45217391304347826	0.5478260869565217	Proto-Oceanic	Half	1	Half	104	230	0.45217391304347826
GB116	0.9864864864864865	0.013513513513513514	Proto-Oceanic	Absent	NA	NA	3	222	0.013513513513513514
GB117	0.7705627705627706	0.22943722943722944	Proto-Oceanic	Absent	0	True Negative	53	231	0.22943722943722944
GB118	0.18981481481481483	0.8101851851851852	Proto-Oceanic	Present	NA	NA	41	216	0.18981481481481483
GB119	0.7886178861788617	0.21138211382113822	Proto-Oceanic	Absent	NA	NA	52	246	0.21138211382113822
GB120	0.7569721115537849	0.24302788844621515	Proto-Oceanic	Absent	NA	NA	61	251	0.24302788844621515
GB121	0.876	0.124	Proto-Oceanic	Absent	0	True Negative	31	250	0.124
GB122	0.5116279069767442	0.4883720930232558	Proto-Oceanic	Half	NA	NA	84	172	0.4883720930232558
GB123	0.7933884297520661	0.2066115702479339	Proto-Oceanic	Not enough languages	NA	Not enough languages	25	121	0.2066115702479339
GB124	0.5878787878787879	0.4121212121212121	Proto-Oceanic	Half	NA	NA	68	165	0.4121212121212121
GB126	0.3350253807106599	0.6649746192893401	Proto-Oceanic	Present	NA	NA	66	197	0.3350253807106599
GB127	0.8902439024390244	0.10975609756097561	Proto-Oceanic	Absent	NA	NA	18	164	0.10975609756097561
GB129	0.9873949579831933	0.012605042016806723	Proto-Oceanic	Absent	NA	NA	3	238	0.012605042016806723
GB131	0.7765151515151515	0.22348484848484848	Proto-Oceanic	Absent	1	False Negative	59	264	0.22348484848484848
GB132	0.3231939163498099	0.6768060836501901	Proto-Oceanic	Present	1	True Positive	85	263	0.3231939163498099
GB133	0.8603773584905661	0.13962264150943396	Proto-Oceanic	Absent	1	False Negative	37	265	0.13962264150943396
GB134	0.037383177570093455	0.9626168224299065	Proto-Oceanic	Present	NA	NA	8	214	0.037383177570093455
GB135	0.0625	0.9375	Proto-Oceanic	Present	NA	NA	12	192	0.0625
GB136	0.2510822510822511	0.7489177489177489	Proto-Oceanic	Present	NA	NA	58	231	0.2510822510822511
GB137	0.7086614173228346	0.29133858267716534	Proto-Oceanic	Absent	NA	NA	74	254	0.29133858267716534
GB138	0.62890625	0.37109375	Proto-Oceanic	Absent	NA	NA	95	256	0.37109375
GB139	0.2703862660944206	0.7296137339055794	Proto-Oceanic	Present	NA	NA	63	233	0.2703862660944206
GB140	0.5027624309392266	0.4972375690607735	Proto-Oceanic	Half	0	Half	90	181	0.4972375690607735
GB146	0.7181208053691275	0.28187919463087246	Proto-Oceanic	Absent	NA	NA	42	149	0.28187919463087246
GB147	0.7378640776699029	0.2621359223300971	Proto-Oceanic	Absent	0	True Negative	54	206	0.2621359223300971
GB148	0.8716577540106952	0.12834224598930483	Proto-Oceanic	Absent	NA	NA	24	187	0.12834224598930483
GB149	1	0	Proto-Oceanic	Absent	NA	NA	223	223	1
GB150	0.8579881656804734	0.14201183431952663	Proto-Oceanic	Absent	NA	NA	24	169	0.14201183431952663
GB151	0.9360730593607306	0.0639269406392694	Proto-Oceanic	Absent	NA	NA	14	219	0.0639269406392694
GB152	0.8443396226415094	0.15566037735849056	Proto-Oceanic	Absent	NA	NA	33	212	0.15566037735849056
GB155	0.26720647773279355	0.7327935222672065	Proto-Oceanic	Present	1	True Positive	66	247	0.26720647773279355
GB156	0.9814814814814815	0.018518518518518517	Proto-Oceanic	Absent	NA	NA	4	216	0.018518518518518517
GB158	0.11522633744855967	0.8847736625514403	Proto-Oceanic	Present	1	True Positive	28	243	0.11522633744855967
GB159	0.37055837563451777	0.6294416243654822	Proto-Oceanic	Present	1	True Positive	73	197	0.37055837563451777
GB160	0.43956043956043955	0.5604395604395604	Proto-Oceanic	Half	NA	NA	80	182	0.43956043956043955
GB165	0.9878542510121457	0.012145748987854251	Proto-Oceanic	Absent	NA	NA	3	247	0.012145748987854251
GB166	0.9838056680161943	0.016194331983805668	Proto-Oceanic	Absent	NA	NA	4	247	0.016194331983805668
GB167	0.9945945945945946	0.005405405405405406	Proto-Oceanic	Absent	NA	NA	1	185	0.005405405405405406
GB170	0.9794238683127572	0.0205761316872428	Proto-Oceanic	Absent	0	True Negative	5	243	0.0205761316872428
GB171	0.9793388429752066	0.02066115702479339	Proto-Oceanic	Absent	0	True Negative	5	242	0.02066115702479339
GB172	0.9243027888446215	0.07569721115537849	Proto-Oceanic	Absent	0	True Negative	19	251	0.07569721115537849
GB177	0.9061032863849765	0.09389671361502347	Proto-Oceanic	Absent	NA	NA	20	213	0.09389671361502347
GB184	0.7248908296943232	0.27510917030567683	Proto-Oceanic	Absent	NA	NA	63	229	0.27510917030567683
GB185	0.6510638297872341	0.34893617021276596	Proto-Oceanic	Absent	NA	NA	82	235	0.34893617021276596
GB186	0.7112068965517241	0.28879310344827586	Proto-Oceanic	Absent	NA	NA	67	232	0.28879310344827586
GB187	0.8455882352941176	0.15441176470588236	Proto-Oceanic	Absent	NA	NA	21	136	0.15441176470588236
GB188	0.9264705882352942	0.07352941176470588	Proto-Oceanic	Absent	NA	NA	10	136	0.07352941176470588
GB192	0.9959349593495935	0.0040650406504065045	Proto-Oceanic	Absent	0	True Negative	1	246	0.0040650406504065045
GB196	0.996078431372549	0.00392156862745098	Proto-Oceanic	Absent	NA	NA	1	255	0.00392156862745098
GB197	0.996078431372549	0.00392156862745098	Proto-Oceanic	Absent	NA	NA	1	255	0.00392156862745098
GB198	0.9710743801652892	0.028925619834710745	Proto-Oceanic	Absent	0	True Negative	7	242	0.028925619834710745
GB204	0.5652173913043478	0.43478260869565216	Proto-Oceanic	Half	NA	NA	60	138	0.43478260869565216
GB250	0.708029197080292	0.291970802919708	Proto-Oceanic	Absent	NA	NA	40	137	0.291970802919708
GB252	0.8672566371681416	0.13274336283185842	Proto-Oceanic	Not enough languages	NA	Not enough languages	15	113	0.13274336283185842
GB253	0.8869565217391304	0.11304347826086956	Proto-Oceanic	Not enough languages	NA	Not enough languages	13	115	0.11304347826086956
GB254	0.3472222222222222	0.6527777777777778	Proto-Oceanic	Present	NA	NA	50	144	0.3472222222222222
GB256	0.8421052631578947	0.15789473684210525	Proto-Oceanic	Not enough languages	NA	Not enough languages	18	114	0.15789473684210525
GB257	0.0979381443298969	0.9020618556701031	Proto-Oceanic	Present	NA	NA	19	194	0.0979381443298969
GB260	0.9949238578680203	0.005076142131979695	Proto-Oceanic	Absent	0	True Negative	1	197	0.005076142131979695
GB262	0.9408866995073891	0.059113300492610835	Proto-Oceanic	Absent	0	True Negative	12	203	0.059113300492610835
GB263	0.7029702970297029	0.297029702970297	Proto-Oceanic	Absent	NA	NA	60	202	0.297029702970297
GB264	0.9509803921568627	0.049019607843137254	Proto-Oceanic	Absent	0	True Negative	10	204	0.049019607843137254
GB265	0.5441176470588235	0.45588235294117646	Proto-Oceanic	Half	NA	NA	62	136	0.45588235294117646
GB266	0.5474452554744526	0.45255474452554745	Proto-Oceanic	Half	NA	NA	62	137	0.45255474452554745
GB270	0.6218487394957983	0.37815126050420167	Proto-Oceanic	Not enough languages	NA	Not enough languages	45	119	0.37815126050420167
GB273	0.725	0.275	Proto-Oceanic	Not enough languages	NA	Not enough languages	33	120	0.275
GB275	0.8701298701298701	0.12987012987012986	Proto-Oceanic	Absent	NA	NA	20	154	0.12987012987012986
GB276	0.6095890410958904	0.3904109589041096	Proto-Oceanic	Absent	NA	NA	57	146	0.3904109589041096
GB285	0.9901477832512315	0.009852216748768473	Proto-Oceanic	Absent	0	True Negative	2	203	0.009852216748768473
GB286	0.9702970297029703	0.0297029702970297	Proto-Oceanic	Absent	0	True Negative	6	202	0.0297029702970297
GB291	0.9425837320574163	0.05741626794258373	Proto-Oceanic	Absent	0	True Negative	12	209	0.05741626794258373
GB296	0.9358974358974359	0.0641025641025641	Proto-Oceanic	Not enough languages	NA	Not enough languages	5	78	0.0641025641025641
GB297	0.9895287958115183	0.010471204188481676	Proto-Oceanic	Absent	0	True Negative	2	191	0.010471204188481676
GB298	0.8765432098765432	0.12345679012345678	Proto-Oceanic	Absent	NA	NA	30	243	0.12345679012345678
GB299	0.22672064777327935	0.7732793522267206	Proto-Oceanic	Present	1	True Positive	56	247	0.22672064777327935
GB300	0.9622641509433962	0.03773584905660377	Proto-Oceanic	Absent	NA	NA	6	159	0.03773584905660377
GB301	0.3695652173913043	0.6304347826086957	Proto-Oceanic	Present	NA	NA	51	138	0.3695652173913043
GB302	0.9739583333333334	0.026041666666666668	Proto-Oceanic	Absent	NA	NA	5	192	0.026041666666666668
GB303	0.9936708860759493	0.006329113924050633	Proto-Oceanic	Absent	NA	NA	1	158	0.006329113924050633
GB304	0.8242424242424242	0.17575757575757575	Proto-Oceanic	Absent	NA	NA	29	165	0.17575757575757575
GB305	0.6111111111111112	0.3888888888888889	Proto-Oceanic	Absent	NA	NA	77	198	0.3888888888888889
GB306	0.7875647668393783	0.21243523316062177	Proto-Oceanic	Absent	NA	NA	41	193	0.21243523316062177
GB309	0.8353909465020576	0.1646090534979424	Proto-Oceanic	Absent	NA	NA	40	243	0.1646090534979424
GB312	0.6094420600858369	0.3905579399141631	Proto-Oceanic	Absent	1	False Negative	91	233	0.3905579399141631
GB313	0.5850622406639004	0.4149377593360996	Proto-Oceanic	Half	NA	NA	100	241	0.4149377593360996
GB314	0.9955947136563876	0.004405286343612335	Proto-Oceanic	Absent	NA	NA	1	227	0.004405286343612335
GB315	1	0	Proto-Oceanic	Absent	NA	NA	225	225	1
GB316	0.8353909465020576	0.1646090534979424	Proto-Oceanic	Absent	NA	NA	40	243	0.1646090534979424
GB317	0.8284518828451883	0.17154811715481172	Proto-Oceanic	Absent	NA	NA	41	239	0.17154811715481172
GB318	0.5185185185185185	0.48148148148148145	Proto-Oceanic	Half	NA	NA	117	243	0.48148148148148145
GB319	0.9673469387755103	0.0326530612244898	Proto-Oceanic	Absent	NA	NA	8	245	0.0326530612244898
GB320	0.9377593360995851	0.06224066390041494	Proto-Oceanic	Absent	NA	NA	15	241	0.06224066390041494
GB321	0.9787234042553191	0.02127659574468085	Proto-Oceanic	Absent	NA	NA	5	235	0.02127659574468085
GB322	0.940677966101695	0.059322033898305086	Proto-Oceanic	Not enough languages	NA	Not enough languages	7	118	0.059322033898305086
GB323	0.9658119658119658	0.03418803418803419	Proto-Oceanic	Not enough languages	NA	Not enough languages	4	117	0.03418803418803419
GB324	0.6909090909090909	0.3090909090909091	Proto-Oceanic	Absent	NA	NA	68	220	0.3090909090909091
GB325	0.9476744186046512	0.05232558139534884	Proto-Oceanic	Absent	NA	NA	9	172	0.05232558139534884
GB326	0.18055555555555555	0.8194444444444444	Proto-Oceanic	Present	NA	NA	39	216	0.18055555555555555
GB327	0.0182648401826484	0.9817351598173516	Proto-Oceanic	Present	NA	NA	4	219	0.0182648401826484
GB328	0.9665071770334929	0.03349282296650718	Proto-Oceanic	Absent	NA	NA	7	209	0.03349282296650718
GB329	0.9479166666666666	0.052083333333333336	Proto-Oceanic	Absent	NA	NA	10	192	0.052083333333333336
GB330	0.9308510638297872	0.06914893617021277	Proto-Oceanic	Absent	NA	NA	13	188	0.06914893617021277
GB331	0.9166666666666666	0.08333333333333333	Proto-Oceanic	Absent	NA	NA	16	192	0.08333333333333333
GB333	0.2543103448275862	0.7456896551724138	Proto-Oceanic	Present	1	True Positive	59	232	0.2543103448275862
GB334	0.5560344827586207	0.44396551724137934	Proto-Oceanic	Half	NA	NA	103	232	0.44396551724137934
GB335	0.8552631578947368	0.14473684210526316	Proto-Oceanic	Absent	NA	NA	33	228	0.14473684210526316
GB336	0.9955357142857143	0.004464285714285714	Proto-Oceanic	Absent	NA	NA	1	224	0.004464285714285714
GB400	0.9271844660194175	0.07281553398058252	Proto-Oceanic	Absent	NA	NA	15	206	0.07281553398058252
GB401	0.6198347107438017	0.38016528925619836	Proto-Oceanic	Not enough languages	NA	Not enough languages	46	121	0.38016528925619836
GB402	0.9871794871794872	0.01282051282051282	Proto-Oceanic	Absent	NA	NA	2	156	0.01282051282051282
GB403	0.8545454545454545	0.14545454545454545	Proto-Oceanic	Absent	NA	NA	24	165	0.14545454545454545
GB408	0.628099173553719	0.371900826446281	Proto-Oceanic	Absent	1	False Negative	90	242	0.371900826446281
GB409	0.8291666666666667	0.17083333333333334	Proto-Oceanic	Absent	0	True Negative	41	240	0.17083333333333334
GB410	0.23529411764705882	0.7647058823529411	Proto-Oceanic	Present	NA	NA	56	238	0.23529411764705882
GB415	0.8814432989690721	0.11855670103092783	Proto-Oceanic	Absent	NA	NA	23	194	0.11855670103092783
GB421	0.36312849162011174	0.6368715083798883	Proto-Oceanic	Present	NA	NA	65	179	0.36312849162011174
GB422	0.946524064171123	0.053475935828877004	Proto-Oceanic	Absent	NA	NA	10	187	0.053475935828877004
GB430	0.92	0.08	Proto-Oceanic	Absent	0	True Negative	20	250	0.08
GB431	0.9007936507936508	0.0992063492063492	Proto-Oceanic	Absent	0	True Negative	25	252	0.0992063492063492
GB432	0.8995983935742972	0.10040160642570281	Proto-Oceanic	Absent	0	True Negative	25	249	0.10040160642570281
GB433	0.2015810276679842	0.7984189723320159	Proto-Oceanic	Present	1	True Positive	51	253	0.2015810276679842
GB519	0.39285714285714285	0.6071428571428571	Proto-Oceanic	Present	NA	NA	88	224	0.39285714285714285
GB520	0.2764227642276423	0.7235772357723578	Proto-Oceanic	Present	NA	NA	68	246	0.2764227642276423
