Feature_ID	0	1	Proto-language	most_common_prediction	Prediction	result_most_common	min	ntip	min_percent_most_common
GB431	0.9411764705882353	0.058823529411764705	Proto-Central Pacific	Absent	NA	NA	25	252	0.0992063492063492
GB432	0.8181818181818182	0.18181818181818182	Proto-Central Pacific	Absent	NA	NA	25	249	0.10040160642570281
GB433	0.9117647058823529	0.08823529411764706	Proto-Central Pacific	Absent	NA	NA	51	253	0.2015810276679842
GB519	0.03225806451612903	0.967741935483871	Proto-Central Pacific	Present	NA	NA	88	224	0.39285714285714285
GB520	0.02857142857142857	0.9714285714285714	Proto-Central Pacific	Present	1	True Positive	68	246	0.2764227642276423
GB521	0.1875	0.8125	Proto-Central Pacific	Present	1	True Positive	101	241	0.4190871369294606
GB522	0.23333333333333334	0.7666666666666667	Proto-Central Pacific	Present	NA	NA	60	218	0.27522935779816515
GB024a	0.45454545454545453	0.5454545454545454	Proto-Central Pacific	Half	NA	NA	98	253	0.38735177865612647
GB024b	0.36363636363636365	0.6363636363636364	Proto-Central Pacific	Present	NA	NA	79	253	0.31225296442687744
GB025a	0.6060606060606061	0.3939393939393939	Proto-Central Pacific	Absent	NA	NA	67	258	0.25968992248062017
GB025b	0.18181818181818182	0.8181818181818182	Proto-Central Pacific	Present	NA	NA	38	258	0.14728682170542637
GB065a	0.3235294117647059	0.6764705882352942	Proto-Central Pacific	Present	NA	NA	108	262	0.4122137404580153
GB065b	0.17647058823529413	0.8235294117647058	Proto-Central Pacific	Present	NA	NA	61	262	0.23282442748091603
GB130a	0.6666666666666666	0.3333333333333333	Proto-Central Pacific	Absent	0	True Negative	56	261	0.21455938697318008
GB130b	0.30303030303030304	0.696969696969697	Proto-Central Pacific	Present	1	True Positive	64	261	0.24521072796934865
GB193a	0.7647058823529411	0.23529411764705882	Proto-Central Pacific	Absent	NA	NA	46	253	0.18181818181818182
GB193b	0	1	Proto-Central Pacific	Present	NA	NA	14	253	0.05533596837944664
GB203a	0.7333333333333333	0.26666666666666666	Proto-Central Pacific	Absent	NA	NA	64	199	0.32160804020100503
GB203b	0.13333333333333333	0.8666666666666667	Proto-Central Pacific	Present	NA	NA	52	199	0.2613065326633166
GB020	0	1	Proto-Polynesian	Present	1	True Positive	118	255	0.4627450980392157
GB021	0.19230769230769232	0.8076923076923077	Proto-Polynesian	Present	1	True Positive	79	238	0.3319327731092437
GB022	0	1	Proto-Polynesian	Present	1	True Positive	122	259	0.47104247104247104
GB023	0.967741935483871	0.03225806451612903	Proto-Polynesian	Absent	NA	NA	58	259	0.22393822393822393
GB026	1	0	Proto-Polynesian	Absent	NA	NA	2	234	0.008547008547008548
GB027	0.68	0.32	Proto-Polynesian	Absent	NA	NA	63	213	0.29577464788732394
GB028	0	1	Proto-Polynesian	Present	1	True Positive	7	272	0.025735294117647058
GB030	1	0	Proto-Polynesian	Absent	NA	NA	7	266	0.02631578947368421
GB031	0.06451612903225806	0.9354838709677419	Proto-Polynesian	Present	1	True Positive	90	262	0.3435114503816794
GB035	0.03333333333333333	0.9666666666666667	Proto-Polynesian	Present	1	True Positive	81	238	0.3403361344537815
GB036	1	0	Proto-Polynesian	Absent	NA	NA	17	237	0.07172995780590717
GB037	0.8275862068965517	0.1724137931034483	Proto-Polynesian	Absent	NA	NA	23	235	0.09787234042553192
GB038	1	0	Proto-Polynesian	Absent	NA	NA	6	249	0.024096385542168676
GB039	0.8571428571428571	0.14285714285714285	Proto-Polynesian	Absent	NA	NA	19	241	0.07883817427385892
GB041	1	0	Proto-Polynesian	Absent	NA	NA	5	195	0.02564102564102564
GB042	1	0	Proto-Polynesian	Absent	NA	NA	8	263	0.030418250950570342
GB043	0.967741935483871	0.03225806451612903	Proto-Polynesian	Absent	NA	NA	8	261	0.03065134099616858
GB044	0.9354838709677419	0.06451612903225806	Proto-Polynesian	Absent	NA	NA	37	262	0.14122137404580154
GB046	0.6	0.4	Proto-Polynesian	Not enough languages	NA	Not enough languages	41	134	0.30597014925373134
GB047	0.3333333333333333	0.6666666666666666	Proto-Polynesian	Present	NA	NA	58	199	0.2914572864321608
GB048	0.7777777777777778	0.2222222222222222	Proto-Polynesian	Absent	NA	NA	69	186	0.3709677419354839
GB049	0.47619047619047616	0.5238095238095238	Proto-Polynesian	Half	NA	NA	77	190	0.4052631578947368
GB051	1	0	Proto-Polynesian	Absent	NA	NA	4	251	0.01593625498007968
GB052	0.9666666666666667	0.03333333333333333	Proto-Polynesian	Absent	NA	NA	5	250	0.02
GB053	1	0	Proto-Polynesian	Absent	NA	NA	16	245	0.0653061224489796
GB054	1	0	Proto-Polynesian	Absent	NA	NA	5	245	0.02040816326530612
GB057	0.3103448275862069	0.6896551724137931	Proto-Polynesian	Present	NA	NA	63	244	0.2581967213114754
GB058	0.8275862068965517	0.1724137931034483	Proto-Polynesian	Absent	NA	NA	112	251	0.44621513944223107
GB059	0.03571428571428571	0.9642857142857143	Proto-Polynesian	Present	1	True Positive	10	261	0.038314176245210725
GB068	0.2222222222222222	0.7777777777777778	Proto-Polynesian	Present	NA	NA	66	223	0.29596412556053814
GB069	0.6521739130434783	0.34782608695652173	Proto-Polynesian	Absent	NA	NA	71	206	0.3446601941747573
GB070	0.9333333333333333	0.06666666666666667	Proto-Polynesian	Absent	0	True Negative	17	259	0.06563706563706563
GB071	0.8275862068965517	0.1724137931034483	Proto-Polynesian	Absent	NA	NA	64	256	0.25
GB072	0.9642857142857143	0.03571428571428571	Proto-Polynesian	Absent	NA	NA	43	256	0.16796875
GB073	0.7931034482758621	0.20689655172413793	Proto-Polynesian	Absent	NA	NA	61	249	0.24497991967871485
GB074	0	1	Proto-Polynesian	Present	1	True Positive	25	267	0.09363295880149813
GB075	0.9642857142857143	0.03571428571428571	Proto-Polynesian	Absent	NA	NA	48	256	0.1875
GB079	0.1935483870967742	0.8064516129032258	Proto-Polynesian	Present	NA	NA	23	263	0.08745247148288973
GB080	0.26666666666666666	0.7333333333333333	Proto-Polynesian	Present	NA	NA	56	261	0.21455938697318008
GB081	1	0	Proto-Polynesian	Absent	NA	NA	23	245	0.09387755102040816
GB082	0.9333333333333333	0.06666666666666667	Proto-Polynesian	Absent	NA	NA	29	259	0.11196911196911197
GB083	0.9	0.1	Proto-Polynesian	Absent	NA	NA	41	261	0.15708812260536398
GB084	0.9310344827586207	0.06896551724137931	Proto-Polynesian	Absent	NA	NA	47	261	0.18007662835249041
GB086	0.8888888888888888	0.1111111111111111	Proto-Polynesian	Absent	NA	NA	96	244	0.39344262295081966
GB089	0.9666666666666667	0.03333333333333333	Proto-Polynesian	Absent	NA	NA	27	267	0.10112359550561797
GB090	0.8333333333333334	0.16666666666666666	Proto-Polynesian	Absent	NA	NA	131	267	0.49063670411985016
GB091	1	0	Proto-Polynesian	Absent	NA	NA	16	263	0.060836501901140684
GB092	0.896551724137931	0.10344827586206896	Proto-Polynesian	Absent	NA	NA	128	263	0.4866920152091255
GB093	0.9655172413793104	0.034482758620689655	Proto-Polynesian	Absent	NA	NA	108	265	0.4075471698113208
GB094	1	0	Proto-Polynesian	Absent	NA	NA	5	265	0.018867924528301886
GB095	1	0	Proto-Polynesian	Absent	NA	NA	17	231	0.0735930735930736
GB096	0.7142857142857143	0.2857142857142857	Proto-Polynesian	Absent	NA	NA	28	238	0.11764705882352941
GB098	0.8928571428571429	0.10714285714285714	Proto-Polynesian	Absent	NA	NA	49	238	0.20588235294117646
GB099	1	0	Proto-Polynesian	Absent	NA	NA	5	202	0.024752475247524754
GB103	1	0	Proto-Polynesian	Absent	NA	NA	27	217	0.12442396313364056
GB104	0.9583333333333334	0.041666666666666664	Proto-Polynesian	Absent	NA	NA	28	219	0.1278538812785388
GB105	0.6956521739130435	0.30434782608695654	Proto-Polynesian	Absent	NA	NA	94	204	0.46078431372549017
GB107	0.8	0.2	Proto-Polynesian	Absent	NA	NA	65	261	0.24904214559386972
GB108	0.8	0.2	Proto-Polynesian	Absent	NA	NA	80	244	0.32786885245901637
GB109	0.7241379310344828	0.27586206896551724	Proto-Polynesian	Absent	NA	NA	17	200	0.085
GB110	1	0	Proto-Polynesian	Absent	NA	NA	202	202	1
GB111	0.9629629629629629	0.037037037037037035	Proto-Polynesian	Absent	NA	NA	24	246	0.0975609756097561
GB113	0.21428571428571427	0.7857142857142857	Proto-Polynesian	Present	1	True Positive	49	244	0.20081967213114754
GB114	0.84	0.16	Proto-Polynesian	Absent	NA	NA	29	214	0.13551401869158877
GB115	0.44	0.56	Proto-Polynesian	Half	1	Half	104	230	0.45217391304347826
GB116	1	0	Proto-Polynesian	Absent	NA	NA	3	222	0.013513513513513514
GB117	0.7142857142857143	0.2857142857142857	Proto-Polynesian	Absent	NA	NA	53	231	0.22943722943722944
GB118	0.38095238095238093	0.6190476190476191	Proto-Polynesian	Present	NA	NA	41	216	0.18981481481481483
GB119	0.9333333333333333	0.06666666666666667	Proto-Polynesian	Absent	NA	NA	52	246	0.21138211382113822
GB120	0.9333333333333333	0.06666666666666667	Proto-Polynesian	Absent	NA	NA	61	251	0.24302788844621515
GB121	0.9333333333333333	0.06666666666666667	Proto-Polynesian	Absent	NA	NA	31	250	0.124
GB122	0.5263157894736842	0.47368421052631576	Proto-Polynesian	Half	NA	NA	84	172	0.4883720930232558
GB123	0.8461538461538461	0.15384615384615385	Proto-Polynesian	Not enough languages	NA	Not enough languages	25	121	0.2066115702479339
GB124	0.3	0.7	Proto-Polynesian	Present	NA	NA	68	165	0.4121212121212121
GB126	0.27586206896551724	0.7241379310344828	Proto-Polynesian	Present	NA	NA	66	197	0.3350253807106599
GB127	1	0	Proto-Polynesian	Absent	NA	NA	18	164	0.10975609756097561
GB129	0.9615384615384616	0.038461538461538464	Proto-Polynesian	Absent	NA	NA	3	238	0.012605042016806723
GB131	0.26666666666666666	0.7333333333333333	Proto-Polynesian	Present	1	True Positive	59	264	0.22348484848484848
GB132	0.6206896551724138	0.3793103448275862	Proto-Polynesian	Absent	0	True Negative	85	263	0.3231939163498099
GB133	1	0	Proto-Polynesian	Absent	0	True Negative	37	265	0.13962264150943396
GB134	0.08695652173913043	0.9130434782608695	Proto-Polynesian	Present	NA	NA	8	214	0.037383177570093455
GB135	0	1	Proto-Polynesian	Present	NA	NA	12	192	0.0625
GB136	0.39285714285714285	0.6071428571428571	Proto-Polynesian	Present	NA	NA	58	231	0.2510822510822511
GB137	0.896551724137931	0.10344827586206896	Proto-Polynesian	Absent	NA	NA	74	254	0.29133858267716534
GB138	0.4482758620689655	0.5517241379310345	Proto-Polynesian	Half	NA	NA	95	256	0.37109375
GB139	0.14285714285714285	0.8571428571428571	Proto-Polynesian	Present	1	True Positive	63	233	0.2703862660944206
GB140	0.5714285714285714	0.42857142857142855	Proto-Polynesian	Half	NA	NA	90	181	0.4972375690607735
GB146	0.8235294117647058	0.17647058823529413	Proto-Polynesian	Absent	NA	NA	42	149	0.28187919463087246
GB147	0.48148148148148145	0.5185185185185185	Proto-Polynesian	Half	1	Half	54	206	0.2621359223300971
GB148	1	0	Proto-Polynesian	Absent	NA	NA	24	187	0.12834224598930483
GB149	1	0	Proto-Polynesian	Absent	NA	NA	223	223	1
GB150	0.9090909090909091	0.09090909090909091	Proto-Polynesian	Absent	NA	NA	24	169	0.14201183431952663
GB151	0.96	0.04	Proto-Polynesian	Absent	NA	NA	14	219	0.0639269406392694
GB152	0.9230769230769231	0.07692307692307693	Proto-Polynesian	Absent	NA	NA	33	212	0.15566037735849056
GB155	0.03225806451612903	0.967741935483871	Proto-Polynesian	Present	NA	NA	66	247	0.26720647773279355
GB156	0.96	0.04	Proto-Polynesian	Absent	NA	NA	4	216	0.018518518518518517
GB158	0	1	Proto-Polynesian	Present	NA	NA	28	243	0.11522633744855967
GB159	0.07142857142857142	0.9285714285714286	Proto-Polynesian	Present	NA	NA	73	197	0.37055837563451777
GB160	0.6363636363636364	0.36363636363636365	Proto-Polynesian	Absent	NA	NA	80	182	0.43956043956043955
GB165	1	0	Proto-Polynesian	Absent	NA	NA	3	247	0.012145748987854251
GB166	1	0	Proto-Polynesian	Absent	NA	NA	4	247	0.016194331983805668
GB167	1	0	Proto-Polynesian	Absent	NA	NA	1	185	0.005405405405405406
GB170	1	0	Proto-Polynesian	Absent	NA	NA	5	243	0.0205761316872428
GB171	1	0	Proto-Polynesian	Absent	NA	NA	5	242	0.02066115702479339
GB172	0.9666666666666667	0.03333333333333333	Proto-Polynesian	Absent	NA	NA	19	251	0.07569721115537849
GB177	1	0	Proto-Polynesian	Absent	NA	NA	20	213	0.09389671361502347
GB184	0.76	0.24	Proto-Polynesian	Absent	NA	NA	63	229	0.27510917030567683
GB185	0.6451612903225806	0.3548387096774194	Proto-Polynesian	Absent	NA	NA	82	235	0.34893617021276596
GB186	0.36666666666666664	0.6333333333333333	Proto-Polynesian	Present	NA	NA	67	232	0.28879310344827586
GB187	0.6842105263157895	0.3157894736842105	Proto-Polynesian	Absent	NA	NA	21	136	0.15441176470588236
GB188	0.95	0.05	Proto-Polynesian	Absent	NA	NA	10	136	0.07352941176470588
GB192	1	0	Proto-Polynesian	Absent	NA	NA	1	246	0.0040650406504065045
GB196	1	0	Proto-Polynesian	Absent	NA	NA	1	255	0.00392156862745098
GB197	1	0	Proto-Polynesian	Absent	NA	NA	1	255	0.00392156862745098
GB198	1	0	Proto-Polynesian	Absent	NA	NA	7	242	0.028925619834710745
GB204	0.7142857142857143	0.2857142857142857	Proto-Polynesian	Absent	NA	NA	60	138	0.43478260869565216
GB250	0.9130434782608695	0.08695652173913043	Proto-Polynesian	Absent	NA	NA	40	137	0.291970802919708
GB252	0.8235294117647058	0.17647058823529413	Proto-Polynesian	Not enough languages	NA	Not enough languages	15	113	0.13274336283185842
GB253	0.7777777777777778	0.2222222222222222	Proto-Polynesian	Not enough languages	NA	Not enough languages	13	115	0.11304347826086956
GB254	0.2727272727272727	0.7272727272727273	Proto-Polynesian	Present	NA	NA	50	144	0.3472222222222222
GB256	0.8823529411764706	0.11764705882352941	Proto-Polynesian	Not enough languages	NA	Not enough languages	18	114	0.15789473684210525
GB257	0.16	0.84	Proto-Polynesian	Present	NA	NA	19	194	0.0979381443298969
GB260	0.9565217391304348	0.043478260869565216	Proto-Polynesian	Absent	NA	NA	1	197	0.005076142131979695
GB262	0.8181818181818182	0.18181818181818182	Proto-Polynesian	Absent	NA	NA	12	203	0.059113300492610835
GB263	0.7083333333333334	0.2916666666666667	Proto-Polynesian	Absent	NA	NA	60	202	0.297029702970297
GB264	0.8181818181818182	0.18181818181818182	Proto-Polynesian	Absent	NA	NA	10	204	0.049019607843137254
GB265	0.6086956521739131	0.391304347826087	Proto-Polynesian	Absent	NA	NA	62	136	0.45588235294117646
GB266	0.17391304347826086	0.8260869565217391	Proto-Polynesian	Present	NA	NA	62	137	0.45255474452554745
GB270	0.6428571428571429	0.35714285714285715	Proto-Polynesian	Not enough languages	NA	Not enough languages	45	119	0.37815126050420167
GB273	0.75	0.25	Proto-Polynesian	Not enough languages	NA	Not enough languages	33	120	0.275
GB275	0.92	0.08	Proto-Polynesian	Absent	NA	NA	20	154	0.12987012987012986
GB276	0.36	0.64	Proto-Polynesian	Present	NA	NA	57	146	0.3904109589041096
GB285	0.96	0.04	Proto-Polynesian	Absent	NA	NA	2	203	0.009852216748768473
GB286	1	0	Proto-Polynesian	Absent	NA	NA	6	202	0.0297029702970297
GB291	0.8076923076923077	0.19230769230769232	Proto-Polynesian	Absent	NA	NA	12	209	0.05741626794258373
GB296	1	0	Proto-Polynesian	Not enough languages	NA	Not enough languages	5	78	0.0641025641025641
GB297	0.9473684210526315	0.05263157894736842	Proto-Polynesian	Absent	NA	NA	2	191	0.010471204188481676
GB298	0.8571428571428571	0.14285714285714285	Proto-Polynesian	Absent	NA	NA	30	243	0.12345679012345678
GB299	0.1	0.9	Proto-Polynesian	Present	1	True Positive	56	247	0.22672064777327935
GB300	0.9090909090909091	0.09090909090909091	Proto-Polynesian	Absent	NA	NA	6	159	0.03773584905660377
GB301	0.2916666666666667	0.7083333333333334	Proto-Polynesian	Present	NA	NA	51	138	0.3695652173913043
GB302	0.8846153846153846	0.11538461538461539	Proto-Polynesian	Absent	NA	NA	5	192	0.026041666666666668
GB303	0.95	0.05	Proto-Polynesian	Absent	NA	NA	1	158	0.006329113924050633
GB304	0.4230769230769231	0.5769230769230769	Proto-Polynesian	Half	NA	NA	29	165	0.17575757575757575
GB305	0.8	0.2	Proto-Polynesian	Absent	NA	NA	77	198	0.3888888888888889
GB306	0.92	0.08	Proto-Polynesian	Absent	NA	NA	41	193	0.21243523316062177
GB309	0.8620689655172413	0.13793103448275862	Proto-Polynesian	Absent	NA	NA	40	243	0.1646090534979424
GB312	0.8928571428571429	0.10714285714285714	Proto-Polynesian	Absent	NA	NA	91	233	0.3905579399141631
GB313	0.5357142857142857	0.4642857142857143	Proto-Polynesian	Half	NA	NA	100	241	0.4149377593360996
GB314	1	0	Proto-Polynesian	Absent	NA	NA	1	227	0.004405286343612335
GB315	1	0	Proto-Polynesian	Absent	NA	NA	225	225	1
GB316	0.4666666666666667	0.5333333333333333	Proto-Polynesian	Half	NA	NA	40	243	0.1646090534979424
GB317	0.6428571428571429	0.35714285714285715	Proto-Polynesian	Absent	NA	NA	41	239	0.17154811715481172
GB318	0.1	0.9	Proto-Polynesian	Present	1	True Positive	117	243	0.48148148148148145
GB319	0.9642857142857143	0.03571428571428571	Proto-Polynesian	Absent	NA	NA	8	245	0.0326530612244898
GB320	0.8928571428571429	0.10714285714285714	Proto-Polynesian	Absent	NA	NA	15	241	0.06224066390041494
GB321	0.9629629629629629	0.037037037037037035	Proto-Polynesian	Absent	NA	NA	5	235	0.02127659574468085
GB322	0.9411764705882353	0.058823529411764705	Proto-Polynesian	Not enough languages	NA	Not enough languages	7	118	0.059322033898305086
GB323	0.9411764705882353	0.058823529411764705	Proto-Polynesian	Not enough languages	NA	Not enough languages	4	117	0.03418803418803419
GB324	0.56	0.44	Proto-Polynesian	Half	NA	NA	68	220	0.3090909090909091
GB325	0.9583333333333334	0.041666666666666664	Proto-Polynesian	Absent	NA	NA	9	172	0.05232558139534884
GB326	0.14814814814814814	0.8518518518518519	Proto-Polynesian	Present	NA	NA	39	216	0.18055555555555555
GB327	0	1	Proto-Polynesian	Present	1	True Positive	4	219	0.0182648401826484
GB328	0.9642857142857143	0.03571428571428571	Proto-Polynesian	Absent	0	True Negative	7	209	0.03349282296650718
GB329	0.9259259259259259	0.07407407407407407	Proto-Polynesian	Absent	NA	NA	10	192	0.052083333333333336
GB330	0.9166666666666666	0.08333333333333333	Proto-Polynesian	Absent	NA	NA	13	188	0.06914893617021277
GB331	0.8076923076923077	0.19230769230769232	Proto-Polynesian	Absent	NA	NA	16	192	0.08333333333333333
GB333	0	1	Proto-Polynesian	Present	NA	NA	59	232	0.2543103448275862
GB334	0.9629629629629629	0.037037037037037035	Proto-Polynesian	Absent	NA	NA	103	232	0.44396551724137934
GB335	0.9259259259259259	0.07407407407407407	Proto-Polynesian	Absent	NA	NA	33	228	0.14473684210526316
GB336	1	0	Proto-Polynesian	Absent	NA	NA	1	224	0.004464285714285714
GB400	0.9629629629629629	0.037037037037037035	Proto-Polynesian	Absent	NA	NA	15	206	0.07281553398058252
GB401	0.6666666666666666	0.3333333333333333	Proto-Polynesian	Not enough languages	NA	Not enough languages	46	121	0.38016528925619836
GB402	1	0	Proto-Polynesian	Absent	NA	NA	2	156	0.01282051282051282
GB403	0.5	0.5	Proto-Polynesian	Half	NA	NA	24	165	0.14545454545454545
GB408	0.4666666666666667	0.5333333333333333	Proto-Polynesian	Half	1	Half	90	242	0.371900826446281
GB408	0.4666666666666667	0.5333333333333333	Proto-Polynesian	Half	0	Half	90	242	0.371900826446281
GB409	0.3103448275862069	0.6896551724137931	Proto-Polynesian	Present	0	False Positive	41	240	0.17083333333333334
GB409	0.3103448275862069	0.6896551724137931	Proto-Polynesian	Present	1	True Positive	41	240	0.17083333333333334
GB410	0.48	0.52	Proto-Polynesian	Half	NA	NA	56	238	0.23529411764705882
GB415	0.8461538461538461	0.15384615384615385	Proto-Polynesian	Absent	NA	NA	23	194	0.11855670103092783
GB421	0.5	0.5	Proto-Polynesian	Half	NA	NA	65	179	0.36312849162011174
GB422	0.9545454545454546	0.045454545454545456	Proto-Polynesian	Absent	NA	NA	10	187	0.053475935828877004
GB430	0.896551724137931	0.10344827586206896	Proto-Polynesian	Absent	NA	NA	20	250	0.08
GB431	0.967741935483871	0.03225806451612903	Proto-Polynesian	Absent	NA	NA	25	252	0.0992063492063492
GB432	0.8333333333333334	0.16666666666666666	Proto-Polynesian	Absent	NA	NA	25	249	0.10040160642570281
