Parsimony_cost,0,1,Feature_ID,ntips
42,155,98,GB024a,253
31,79,174,GB024b,253
46,191,67,GB025a,258
29,38,220,GB025b,258
57,108,154,GB065a,262
32,61,201,GB065b,262
29,54,205,GB130a,259
32,197,62,GB130b,259
43,206,46,GB193a,252
14,14,238,GB193b,252
48,135,64,GB203a,199
42,52,147,GB203b,199
59,118,136,GB020,254
53,159,78,GB021,237
44,122,136,GB022,258
48,201,58,GB023,259
2,232,2,GB026,234
42,63,150,GB027,213
6,7,264,GB028,271
6,259,7,GB030,266
47,90,171,GB031,261
61,81,156,GB035,237
14,220,17,GB036,237
21,212,23,GB037,235
6,243,6,GB038,249
18,222,19,GB039,241
5,190,5,GB041,195
8,255,8,GB042,263
8,253,8,GB043,261
34,225,37,GB044,262
34,93,41,GB046,134
42,58,141,GB047,199
41,117,69,GB048,186
53,77,113,GB049,190
3,247,4,GB051,251
4,245,5,GB052,250
16,229,16,GB053,245
4,240,5,GB054,245
30,181,63,GB057,244
60,112,139,GB058,251
10,10,250,GB059,260
49,66,157,GB068,223
58,135,71,GB069,206
16,241,17,GB070,258
55,191,64,GB071,255
32,213,43,GB072,256
52,187,61,GB073,248
11,25,241,GB074,266
26,208,48,GB075,256
22,23,239,GB079,262
46,56,205,GB080,261
18,222,23,GB081,245
23,230,29,GB082,259
33,220,41,GB083,261
36,214,47,GB084,261
66,148,96,GB086,244
22,240,27,GB089,267
47,131,136,GB090,267
13,247,16,GB091,263
51,135,128,GB092,263
52,108,157,GB093,265
5,260,5,GB094,265
17,214,17,GB095,231
27,210,28,GB096,238
45,189,49,GB098,238
5,197,5,GB099,202
22,190,27,GB103,217
22,191,28,GB104,219
55,110,94,GB105,204
45,196,65,GB107,261
53,164,80,GB108,244
14,183,17,GB109,200
0,202,0,GB110,202
20,222,24,GB111,246
35,49,193,GB113,242
25,185,29,GB114,214
57,104,124,GB115,228
3,219,3,GB116,222
42,178,53,GB117,231
35,41,175,GB118,216
43,194,52,GB119,246
53,190,61,GB120,251
29,219,31,GB121,250
53,88,84,GB122,172
22,96,25,GB123,121
33,97,68,GB124,165
47,66,131,GB126,197
15,146,18,GB127,164
3,235,3,GB129,238
25,205,57,GB131,262
28,83,178,GB132,261
11,226,37,GB133,263
8,8,206,GB134,214
10,12,180,GB135,192
43,58,173,GB136,231
36,180,74,GB137,254
60,161,95,GB138,256
45,63,169,GB139,232
56,90,90,GB140,180
34,107,42,GB146,149
35,152,52,GB147,204
20,163,24,GB148,187
0,223,0,GB149,223
22,145,24,GB150,169
12,205,14,GB151,219
30,179,33,GB152,212
31,66,180,GB155,246
4,212,4,GB156,216
23,28,215,GB158,243
49,73,124,GB159,197
54,80,102,GB160,182
3,244,3,GB165,247
4,243,4,GB166,247
1,184,1,GB167,185
5,238,5,GB170,243
5,237,5,GB171,242
14,232,19,GB172,251
18,193,20,GB177,213
44,166,63,GB184,229
50,153,82,GB185,235
46,165,67,GB186,232
20,115,21,GB187,136
10,126,10,GB188,136
1,245,1,GB192,246
1,254,1,GB196,255
1,254,1,GB197,255
6,235,7,GB198,242
37,78,60,GB204,138
30,97,40,GB250,137
13,98,15,GB252,113
13,102,13,GB253,115
38,50,94,GB254,144
16,96,18,GB256,114
17,19,175,GB257,194
1,196,1,GB260,197
12,191,12,GB262,203
48,142,60,GB263,202
9,194,10,GB264,204
33,74,62,GB265,136
31,75,62,GB266,137
35,74,45,GB270,119
33,87,33,GB273,120
19,134,20,GB275,154
39,89,57,GB276,146
2,201,2,GB285,203
5,196,6,GB286,202
12,197,12,GB291,209
4,73,5,GB296,78
2,189,2,GB297,191
28,213,30,GB298,243
44,56,190,GB299,246
6,153,6,GB300,159
35,51,87,GB301,138
5,187,5,GB302,192
1,157,1,GB303,158
16,136,29,GB304,165
58,121,77,GB305,198
31,152,41,GB306,193
35,203,40,GB309,243
49,142,91,GB312,233
69,141,100,GB313,241
1,226,1,GB314,227
0,225,0,GB315,225
28,203,40,GB316,243
37,198,41,GB317,239
55,126,116,GB318,242
8,237,8,GB319,245
14,226,15,GB320,241
5,230,5,GB321,235
7,111,7,GB322,118
4,113,4,GB323,117
55,152,68,GB324,220
9,163,9,GB325,172
31,39,177,GB326,216
3,4,214,GB327,218
4,201,7,GB328,208
10,182,10,GB329,192
12,175,13,GB330,188
16,176,16,GB331,192
25,59,173,GB333,232
45,129,103,GB334,232
27,195,33,GB335,228
1,223,1,GB336,224
15,191,15,GB400,206
37,75,46,GB401,121
2,154,2,GB402,156
19,141,24,GB403,165
57,152,89,GB408,241
25,198,41,GB409,239
45,56,181,GB410,237
23,171,23,GB415,194
47,65,114,GB421,179
9,177,10,GB422,187
14,230,20,GB430,250
20,227,25,GB431,252
24,224,25,GB432,249
22,51,202,GB433,253
54,88,135,GB519,223
47,68,176,GB520,244
62,140,100,GB521,240
45,60,157,GB522,217
